AgeType,MeasurementItem,Gender,Value
06歳,身長(cm),男子,116.37
06歳,体重(kg),男子,21.01
06歳,身長(cm),女子,115.53
06歳,体重(kg),女子,20.84
07歳,身長(cm),男子,122.44
07歳,体重(kg),男子,23.8
07歳,身長(cm),女子,121.79
07歳,体重(kg),女子,23.37
08歳,身長(cm),男子,128.08
08歳,体重(kg),男子,26.39
08歳,身長(cm),女子,127.48
08歳,体重(kg),女子,26.25
09歳,身長(cm),男子,133.47
09歳,体重(kg),男子,29.7
09歳,身長(cm),女子,133.29
09歳,体重(kg),女子,29.39
10歳,身長(cm),男子,138.9
10歳,体重(kg),男子,33.35
10歳,身長(cm),女子,140.32
10歳,体重(kg),女子,33.75
11歳,身長(cm),男子,145.35
11歳,体重(kg),男子,37.64
11歳,身長(cm),女子,146.97
11歳,体重(kg),女子,38.62
12歳,身長(cm),男子,153.16
12歳,体重(kg),男子,43.74
12歳,身長(cm),女子,151.94
12歳,体重(kg),女子,43.29
13歳,身長(cm),男子,160.7
13歳,体重(kg),男子,48.86
13歳,身長(cm),女子,155.08
13歳,体重(kg),女子,46.6
14歳,身長(cm),男子,165.44
14歳,体重(kg),男子,53.22
14歳,身長(cm),女子,156.69
14歳,体重(kg),女子,49.58
15歳,身長(cm),男子,167.85
15歳,体重(kg),男子,57.37
15歳,身長(cm),女子,156.6
15歳,体重(kg),女子,50.82
16歳,身長(cm),男子,169.77
16歳,体重(kg),男子,59.75
16歳,身長(cm),女子,157.04
16歳,体重(kg),女子,51.75
17歳,身長(cm),男子,170.09
17歳,体重(kg),男子,61.88
17歳,身長(cm),女子,157.58
17歳,体重(kg),女子,52.28
18歳,身長(cm),男子,171.0
18歳,体重(kg),男子,61.76
18歳,身長(cm),女子,157.62
18歳,体重(kg),女子,51.42
19歳,身長(cm),男子,171.45
19歳,体重(kg),男子,62.55
19歳,身長(cm),女子,158.0
19歳,体重(kg),女子,51.41
20-24歳,身長(cm),男子,171.56
20-24歳,体重(kg),男子,65.74
20-24歳,身長(cm),女子,158.28
20-24歳,体重(kg),女子,50.87
25-29歳,身長(cm),男子,172.11
25-29歳,体重(kg),男子,67.26
25-29歳,身長(cm),女子,158.5
25-29歳,体重(kg),女子,50.41
30-34歳,身長(cm),男子,172.18
30-34歳,体重(kg),男子,68.63
30-34歳,身長(cm),女子,158.68
30-34歳,体重(kg),女子,51.36
35-39歳,身長(cm),男子,171.94
35-39歳,体重(kg),男子,68.61
35-39歳,身長(cm),女子,158.97
35-39歳,体重(kg),女子,51.49
40-44歳,身長(cm),男子,171.79
40-44歳,体重(kg),男子,69.26
40-44歳,身長(cm),女子,158.72
40-44歳,体重(kg),女子,52.51
45-49歳,身長(cm),男子,171.46
45-49歳,体重(kg),男子,69.09
45-49歳,身長(cm),女子,158.56
45-49歳,体重(kg),女子,53.3
50-54歳,身長(cm),男子,170.78
50-54歳,体重(kg),男子,68.97
50-54歳,身長(cm),女子,158.02
50-54歳,体重(kg),女子,53.29
55-59歳,身長(cm),男子,169.87
55-59歳,体重(kg),男子,68.18
55-59歳,身長(cm),女子,156.69
55-59歳,体重(kg),女子,53.25
60-64歳,身長(cm),男子,168.35
60-64歳,体重(kg),男子,65.84
60-64歳,身長(cm),女子,155.52
60-64歳,体重(kg),女子,53.01
65-69歳,身長(cm),男子,166.65
65-69歳,体重(kg),男子,64.43
65-69歳,身長(cm),女子,153.68
65-69歳,体重(kg),女子,52.3
70-74歳,身長(cm),男子,164.83
70-74歳,体重(kg),男子,62.41
70-74歳,身長(cm),女子,152.01
70-74歳,体重(kg),女子,51.07
75-79歳,身長(cm),男子,163.19
75-79歳,体重(kg),男子,61.44
75-79歳,身長(cm),女子,150.61
75-79歳,体重(kg),女子,50.17
